Professor_Name,Professor_ID,is fully prepared and completed all the topics in thesyllabus in detail,encourages participation and discussion in the class,"uses modern teaching aids/gadgets (animation, video, simulation, others) in the class and shares handouts/references/PPT/web-resources/others",relates the course content with the real-world scenarios (applications) that helped to improve my interest and understanding of the subject,inspires me by his/her competency in teaching- learning knowledge (how to teach a subject) by making the class most interesting,communicate the desired knowledge to me by knowing my expectations by adopting learner centric education,is dedicated for teaching and punctual in the class,"sets an effective question paper in the examination using the standard principles of honesty, dedication, integrity, and seriousness","conducted periodical assessments as per schedule using methods such as quiz, seminars, assignments, classroom presentation, and group discussions",is fair and unbiased in the entire course evaluation process,Would you pick this instructor again?,Final_Grade,DT_prediction,dt_pred,SVM_prediction,True_Label
Dr. Robert Johnson,P005,4,5,3,3,4,4,4,4,3,4,1,4.1,1,1,1,1
Prof. Emily Davis,P004,3,1,2,2,5,1,3,5,3,5,1,4.25,1,1,1,1
Dr. Sarah Wilson,P006,2,2,2,1,2,2,2,2,1,2,1,3.9,0,0,0,0
Dr. Olivia Hernandez,P010,3,4,5,5,3,3,3,3,3,5,1,3.75,1,1,1,1
Dr. Andrew Lopez,P015,1,1,1,2,1,1,2,2,1,2,1,3.9,0,0,0,0
Dr. Henry Young,P017,1,3,2,2,2,1,3,2,1,2,1,3.75,1,1,1,0
Dr. Olivia Hernandez,P010,4,4,4,3,3,5,5,4,3,5,1,4.05,1,1,1,1
Prof. Elizabeth Ramirez,P020,5,5,5,2,1,4,1,4,3,3,1,4.15,1,1,1,1
Prof. Grace Hall,P016,1,4,4,3,3,5,2,3,1,5,1,4.45,1,1,1,0
Prof. Elizabeth Ramirez,P020,1,4,1,2,5,1,2,5,4,4,1,3.9,1,1,1,1
Dr. Sarah Wilson,P006,4,3,3,3,3,5,5,4,3,3,1,3.9,1,1,1,1
Dr. Michael Brown,P003,1,2,1,1,2,1,2,1,2,1,1,4.15,0,0,0,0
Prof. Isabella Thomas,P012,2,2,1,2,2,1,2,1,2,1,1,3.95,0,0,0,0
Prof. Isabella Thomas,P012,1,1,5,4,4,1,1,4,2,2,1,3.7,1,1,1,1
Dr. James Walker,P013,4,4,2,1,5,1,2,1,2,2,1,4.35,1,1,1,0
Dr. Olivia Hernandez,P010,3,3,3,2,5,5,2,3,3,3,1,4.4,1,1,1,1
Prof. William Lee,P009,5,4,4,3,5,5,3,5,3,4,1,3.85,1,1,1,1
Prof. Grace Hall,P016,3,5,3,5,3,4,5,5,3,3,1,4.05,1,1,1,1
Dr. Robert Johnson,P005,4,5,5,5,5,4,4,4,4,5,1,3.95,1,1,1,1
Prof. John Doe,P001,1,2,2,2,1,1,1,2,1,2,1,3.9,0,0,0,0
Dr. Alice Smith,P002,5,4,3,4,4,4,3,3,4,4,1,3.9,1,1,1,1
Dr. Robert Johnson,P005,4,5,3,4,5,4,5,3,4,3,1,3.95,1,1,1,1
Prof. Emily Davis,P004,4,3,5,4,4,4,4,3,4,5,1,3.3,1,1,1,1
Dr. Ryan Carter,P019,2,2,2,1,1,2,2,1,2,2,1,3.85,0,0,0,0
Prof. John Doe,P001,4,3,4,1,2,2,3,1,1,2,1,4.15,1,1,1,0
Dr. Alice Smith,P002,2,4,4,5,5,2,3,4,2,2,1,3.75,1,1,1,1
Dr. Michael Brown,P003,1,2,2,2,2,2,2,1,1,1,1,3.85,0,0,0,0
Dr. James Walker,P013,1,1,1,1,1,2,1,1,1,1,1,4.1,0,0,0,0
Prof. Sophia Scott,P014,1,5,5,5,3,2,5,1,4,5,1,3.7,1,1,1,1
Dr. Robert Johnson,P005,2,2,1,1,2,2,1,2,1,2,1,3.85,0,0,0,0
Dr. Ryan Carter,P019,2,2,1,2,2,2,1,2,2,2,1,3.75,0,0,0,0
Prof. William Lee,P009,2,3,1,5,3,4,5,5,3,3,1,4.35,1,1,1,1
Dr. Andrew Lopez,P015,2,2,1,1,2,1,1,2,1,1,1,4.1,0,0,0,0
Dr. Olivia Hernandez,P010,2,5,3,4,1,4,1,4,5,2,1,3.75,1,1,1,1
Dr. Sarah Wilson,P006,4,1,1,1,4,5,2,4,1,4,1,3.8,1,1,1,1
Dr. Michael Brown,P003,4,5,3,4,3,4,4,3,3,3,1,3.95,1,1,1,1
Dr. Michael Brown,P003,3,5,5,1,5,1,5,5,5,5,1,3.65,1,1,1,1
Dr. Jennifer Clark,P008,5,3,3,5,5,5,4,5,4,4,1,4.0,1,1,1,1
Prof. John Doe,P001,5,5,4,3,4,3,4,5,4,5,1,3.85,1,1,1,1
Prof. Natalian Khabib King,P018,1,5,2,2,3,4,4,3,3,3,1,4.35,1,1,1,1
Dr. Jennifer Clark,P008,1,1,1,2,1,2,1,1,1,1,1,4.05,0,0,0,0
Prof. Daniel Martinez,P007,1,4,1,4,4,4,4,2,4,3,1,4.25,1,1,1,1
Dr. Jennifer Clark,P008,4,4,4,3,3,3,4,4,3,3,1,3.9,1,1,1,1
Dr. Michael Brown,P003,3,1,4,4,2,1,1,2,1,3,1,3.7,0,0,0,1
Prof. Daniel Martinez,P007,2,1,1,1,2,1,2,1,1,1,1,3.8,0,0,0,0
Prof. Sophia Scott,P014,2,4,3,2,2,1,3,4,3,2,1,4.55,1,1,1,1
Dr. Andrew Lopez,P015,1,1,1,2,1,1,1,1,1,1,1,4.2,0,0,0,0
Dr. Alice Smith,P002,5,3,5,4,5,3,5,4,3,5,1,3.85,1,1,1,1
Dr. Alice Smith,P002,2,1,1,1,1,2,2,1,2,2,1,3.95,0,0,0,0
Dr. Michael Brown,P003,4,5,4,5,5,5,4,4,5,4,1,3.95,1,1,1,1
Prof. William Lee,P009,3,3,3,4,3,4,3,4,5,4,1,4.0,1,1,1,1
Dr. Alice Smith,P002,5,4,4,4,5,3,5,3,4,3,1,4.25,1,1,1,1
Dr. David White,P011,1,1,1,2,2,1,2,2,2,2,1,4.05,0,0,0,0
Dr. Olivia Hernandez,P010,5,1,2,4,2,4,5,3,3,1,1,3.95,1,1,1,0
Dr. Ryan Carter,P019,4,5,3,2,5,4,1,3,3,2,1,4.15,1,1,1,1
Prof. Grace Hall,P016,2,2,1,2,2,1,1,2,1,1,1,3.95,0,0,0,0
Dr. Jennifer Clark,P008,3,5,4,4,5,3,4,4,5,4,1,4.0,1,1,1,1
Dr. Henry Young,P017,4,2,5,5,5,3,2,4,3,2,1,3.95,1,1,1,0
Prof. Elizabeth Ramirez,P020,4,4,2,4,4,3,1,5,3,4,1,4.2,1,1,1,0
Dr. Alice Smith,P002,1,1,1,2,1,1,1,2,1,1,1,4.5,0,0,0,0
Dr. Ryan Carter,P019,3,4,2,5,5,5,3,5,5,1,1,4.3,1,1,1,1
Prof. Daniel Martinez,P007,1,1,2,2,1,2,1,1,1,1,1,4.05,0,0,0,0
Prof. Emily Davis,P004,4,5,4,5,4,4,3,3,3,5,1,3.85,1,1,1,1
Dr. Sarah Wilson,P006,4,5,4,5,5,5,5,3,5,5,1,3.95,1,1,1,1
Prof. Daniel Martinez,P007,4,4,5,4,5,3,5,4,4,4,1,4.2,1,1,1,1
Prof. Grace Hall,P016,2,1,2,1,1,2,2,2,2,1,1,4.1,0,0,0,0
Prof. Grace Hall,P016,3,4,3,3,2,5,3,3,4,3,1,3.9,1,1,1,1
Dr. Olivia Hernandez,P010,5,4,3,3,3,5,5,4,3,4,1,4.2,1,1,1,1
Dr. Olivia Hernandez,P010,4,3,3,3,5,5,3,4,5,4,1,3.75,1,1,1,1
Prof. Elizabeth Ramirez,P020,3,4,2,3,2,2,3,4,2,3,1,4.45,1,1,1,0
Dr. Olivia Hernandez,P010,1,2,1,1,2,1,1,1,2,1,1,4.45,0,0,0,0
Prof. William Lee,P009,5,4,3,4,5,5,4,5,4,4,1,4.5,1,1,1,1
Dr. James Walker,P013,3,2,5,3,4,4,5,5,4,1,1,3.95,1,1,1,0
Prof. Daniel Martinez,P007,1,1,1,1,2,1,2,2,2,1,1,4.2,0,0,0,0
Dr. Alice Smith,P002,3,4,2,4,4,5,5,4,4,1,1,3.75,1,1,1,1
Dr. Alice Smith,P002,1,1,2,2,1,2,2,1,2,1,1,4.15,0,0,0,0
Dr. David White,P011,1,4,2,3,4,2,1,5,1,4,1,4.25,1,1,1,0
Prof. Isabella Thomas,P012,2,2,2,2,2,1,2,1,2,1,1,3.85,0,0,0,0
Dr. Jennifer Clark,P008,2,1,1,1,1,1,2,1,2,2,1,4.0,0,0,0,0
Dr. Michael Brown,P003,1,1,2,1,2,1,2,2,2,2,1,4.45,0,0,0,0
Dr. James Walker,P013,3,5,1,4,4,3,3,2,4,5,1,3.85,1,1,1,0
Prof. Elizabeth Ramirez,P020,3,4,5,4,4,5,5,4,4,3,1,4.35,1,1,1,1
Dr. Andrew Lopez,P015,1,2,2,2,2,1,2,2,2,2,1,4.05,0,0,0,0
Dr. Robert Johnson,P005,2,1,2,1,1,2,1,1,2,2,1,4.0,0,0,0,0
Prof. William Lee,P009,5,3,3,5,4,4,5,3,5,5,1,3.95,1,1,1,1
Prof. Grace Hall,P016,3,4,4,3,5,5,4,3,4,4,1,4.3,1,1,1,1
Dr. James Walker,P013,1,2,2,1,1,1,2,1,2,1,1,3.4,0,0,0,0
Dr. Michael Brown,P003,1,1,2,1,1,2,1,2,2,1,1,4.2,0,0,0,0
Dr. Ryan Carter,P019,3,5,5,1,5,1,4,5,2,5,1,3.95,1,1,1,0
Dr. Sarah Wilson,P006,3,5,4,5,3,3,3,3,5,5,1,4.0,1,1,1,1
Prof. Daniel Martinez,P007,3,4,3,3,3,5,3,5,5,5,1,3.75,1,1,1,1
Dr. Henry Young,P017,5,5,4,1,2,4,4,2,5,2,1,4.15,1,1,1,0
Dr. Andrew Lopez,P015,1,5,2,1,4,5,1,5,3,4,1,4.05,1,1,1,1
Dr. Henry Young,P017,1,1,2,1,2,1,2,1,1,2,1,3.85,0,0,0,0
Dr. Michael Brown,P003,2,2,2,2,2,2,2,2,1,2,1,4.1,0,0,0,0
Prof. Grace Hall,P016,3,4,1,2,5,3,2,4,1,3,1,3.65,1,1,1,0
Prof. Grace Hall,P016,5,1,5,1,5,1,4,2,2,3,1,3.95,1,1,1,1
Prof. John Doe,P001,1,1,2,2,2,2,2,2,2,1,1,4.0,0,0,0,0
Dr. David White,P011,2,2,2,1,1,2,1,2,1,1,1,4.05,0,0,0,0
Dr. Ryan Carter,P019,5,3,3,4,3,4,5,3,5,4,1,3.75,1,1,1,1
Prof. William Lee,P009,1,4,3,1,4,5,4,2,5,4,1,4.2,1,1,1,1
Dr. Ryan Carter,P019,2,4,4,5,4,3,1,3,5,3,1,4.0,1,1,1,0
Prof. William Lee,P009,3,5,4,4,4,5,3,4,4,3,1,4.0,1,1,1,1
Prof. Natalian Khabib King,P018,1,2,1,1,2,2,2,1,2,2,1,3.9,0,0,0,0
Prof. Elizabeth Ramirez,P020,2,5,2,5,1,5,2,4,5,2,1,4.05,1,1,1,0
Prof. Natalian Khabib King,P018,2,1,2,2,2,2,2,2,2,2,1,3.85,0,0,0,0
Prof. Isabella Thomas,P012,1,4,5,1,2,1,1,2,2,2,1,3.6,1,1,1,1
Prof. Daniel Martinez,P007,3,3,5,4,4,3,1,4,3,3,1,3.95,1,1,1,1
Prof. Grace Hall,P016,4,5,5,3,4,5,4,4,4,4,1,4.15,1,1,1,1
Dr. Andrew Lopez,P015,2,2,5,3,5,3,1,3,2,4,1,3.95,1,1,1,1
Prof. Elizabeth Ramirez,P020,5,3,4,5,4,3,4,4,5,4,1,3.75,1,1,1,1
Dr. Henry Young,P017,1,2,2,2,1,1,1,1,1,1,1,3.75,0,0,0,0
Dr. Andrew Lopez,P015,1,5,3,5,5,1,3,1,1,1,1,3.85,1,1,1,0
Prof. Emily Davis,P004,5,4,4,5,5,4,4,4,5,5,1,4.05,1,1,1,1
Prof. Emily Davis,P004,5,5,5,4,3,5,3,5,4,5,1,4.65,1,1,1,1
Prof. Sophia Scott,P014,2,2,2,2,1,1,2,1,1,2,1,3.85,0,0,0,0
Dr. Henry Young,P017,2,1,1,1,2,2,2,2,2,1,1,4.15,0,0,0,0
Prof. William Lee,P009,3,5,5,3,4,3,5,5,4,4,1,4.3,1,1,1,1
Dr. Sarah Wilson,P006,2,3,3,2,5,2,4,3,5,1,1,4.05,1,1,1,0
Dr. Ryan Carter,P019,1,1,5,2,3,1,3,2,3,1,1,4.05,1,1,1,1
Prof. Isabella Thomas,P012,5,5,5,5,5,4,3,4,5,5,1,4.0,1,1,1,1
Prof. John Doe,P001,4,5,4,5,5,3,4,4,5,4,1,3.95,1,1,1,1
Dr. Henry Young,P017,1,1,2,2,2,2,2,1,1,1,1,3.95,0,0,0,0
Dr. Jennifer Clark,P008,1,1,2,2,2,2,2,2,1,2,1,4.05,0,0,0,0
Prof. John Doe,P001,5,3,5,5,2,4,1,2,1,4,1,3.65,1,1,1,0
Dr. Alice Smith,P002,2,4,1,3,4,1,2,1,4,5,1,3.9,1,1,1,0
Dr. Alice Smith,P002,2,1,2,1,2,1,2,2,2,1,1,3.95,0,0,0,0
Prof. John Doe,P001,4,3,5,4,5,3,4,3,4,5,1,4.35,1,1,1,1
Prof. Elizabeth Ramirez,P020,4,2,4,2,4,3,3,5,4,4,1,4.35,1,1,1,1
Prof. Grace Hall,P016,3,3,4,4,5,2,2,2,1,3,1,4.4,1,1,1,0
Prof. William Lee,P009,3,2,1,4,3,2,2,3,4,1,1,3.95,1,1,1,0
Dr. Robert Johnson,P005,2,2,3,3,2,1,3,1,4,3,1,4.4,1,1,1,0
Dr. Andrew Lopez,P015,4,2,5,5,1,2,2,2,3,3,1,4.05,1,1,1,1
Prof. Grace Hall,P016,1,1,2,1,1,2,1,1,1,2,1,3.75,0,0,0,0
Dr. Michael Brown,P003,3,3,5,3,3,4,4,4,5,3,1,3.85,1,1,1,1
Prof. Emily Davis,P004,3,4,5,5,3,3,5,3,4,3,1,3.65,1,1,1,1
Prof. Emily Davis,P004,1,2,2,2,1,2,2,2,1,1,1,4.05,0,0,0,0
Prof. Elizabeth Ramirez,P020,1,2,1,2,1,1,2,1,1,2,1,4.05,0,0,0,0
Dr. James Walker,P013,4,5,3,4,5,4,3,5,3,5,1,3.7,1,1,1,1
Dr. James Walker,P013,5,4,1,4,3,2,1,3,1,5,1,3.8,1,1,1,1
Dr. Alice Smith,P002,3,5,5,5,4,3,4,3,3,5,1,3.8,1,1,1,1
Prof. Daniel Martinez,P007,2,2,2,1,2,2,2,1,1,2,1,4.2,0,0,0,0
Prof. Elizabeth Ramirez,P020,1,3,4,1,4,3,3,3,2,2,1,4.25,1,1,1,1
Dr. Michael Brown,P003,2,2,1,2,2,1,2,1,1,1,1,3.95,0,0,0,0
Dr. Olivia Hernandez,P010,4,5,3,4,5,4,3,3,4,5,1,3.7,1,1,1,1
Prof. Emily Davis,P004,1,1,2,2,1,1,2,2,2,1,1,4.4,0,0,0,0
Prof. Daniel Martinez,P007,5,4,5,3,5,3,5,4,3,3,1,4.2,1,1,1,1
Prof. John Doe,P001,1,2,1,2,2,1,1,1,1,1,1,4.55,0,0,0,0
Dr. Ryan Carter,P019,2,4,2,3,5,1,2,1,3,5,1,4.35,1,1,1,0
Prof. William Lee,P009,1,2,1,2,1,2,2,1,2,1,1,4.3,0,0,0,0
Dr. Ryan Carter,P019,1,2,1,2,1,1,2,1,2,1,1,4.3,0,0,0,0
Prof. Sophia Scott,P014,1,1,1,1,1,1,1,1,1,1,1,4.0,0,0,0,0
Dr. Robert Johnson,P005,4,3,4,3,5,5,3,4,2,1,1,4.45,1,1,1,1
Dr. Michael Brown,P003,2,4,3,2,4,3,2,2,4,4,1,4.4,1,1,1,0
Dr. Andrew Lopez,P015,2,1,1,2,1,1,2,1,2,1,1,3.7,0,0,0,0
Dr. Michael Brown,P003,1,1,1,2,1,1,2,1,1,2,1,4.0,0,0,0,0
Prof. Elizabeth Ramirez,P020,2,2,2,2,1,2,2,2,1,2,1,4.15,0,0,0,0
Prof. William Lee,P009,5,4,3,4,4,5,4,3,4,3,1,4.0,1,1,1,1
Dr. Alice Smith,P002,1,5,5,4,2,3,1,5,4,2,1,4.0,1,1,1,0
Prof. Isabella Thomas,P012,3,5,5,5,3,4,5,3,3,5,1,3.8,1,1,1,1
Prof. Daniel Martinez,P007,4,4,4,3,4,5,4,4,5,3,1,3.3,1,1,1,1
Dr. Michael Brown,P003,4,4,3,5,4,4,4,2,5,3,1,4.55,1,1,1,1
Prof. John Doe,P001,4,4,5,5,5,3,4,5,3,5,1,4.15,1,1,1,1
Prof. Daniel Martinez,P007,2,1,1,1,2,1,1,2,2,2,1,4.8,0,0,0,0
Prof. Sophia Scott,P014,5,5,4,4,5,5,4,4,3,5,1,4.05,1,1,1,1
Prof. Isabella Thomas,P012,4,3,4,3,4,5,4,5,5,4,1,4.2,1,1,1,1
Dr. Olivia Hernandez,P010,3,5,4,3,5,5,5,5,3,3,1,3.85,1,1,1,1
Dr. James Walker,P013,4,2,3,1,1,3,5,3,2,5,1,3.8,0,0,0,1
Dr. Sarah Wilson,P006,3,2,1,5,2,5,4,1,5,4,1,4.05,1,1,1,0
Prof. Natalian Khabib King,P018,4,4,4,3,3,4,3,3,5,5,1,4.1,1,1,1,1
Prof. Daniel Martinez,P007,4,3,3,4,4,3,3,5,3,3,1,3.65,1,1,1,1
Dr. Sarah Wilson,P006,3,3,3,5,5,3,4,5,3,4,1,4.3,1,1,1,1
Dr. Michael Brown,P003,3,3,4,3,3,5,5,4,5,4,1,4.05,1,1,1,1
Dr. Sarah Wilson,P006,2,1,1,2,1,3,1,1,3,1,1,3.9,1,1,1,1
Dr. Michael Brown,P003,5,5,5,1,1,4,1,5,4,5,1,4.6,1,1,1,0
Dr. David White,P011,3,4,4,4,3,5,3,4,3,4,1,3.95,1,1,1,1
Prof. Isabella Thomas,P012,4,1,1,3,4,2,1,3,2,3,1,3.95,1,1,1,0
Prof. Daniel Martinez,P007,2,1,1,1,2,2,2,1,1,2,1,3.6,0,0,0,0
Dr. Sarah Wilson,P006,3,5,3,4,3,4,4,4,4,3,1,4.75,1,1,1,1
Dr. James Walker,P013,3,5,2,3,5,5,5,1,1,5,1,3.9,1,1,1,0
Prof. Sophia Scott,P014,5,3,1,5,3,1,1,3,1,4,1,3.85,1,1,1,1
Prof. Elizabeth Ramirez,P020,2,1,2,1,2,2,1,1,2,1,1,3.9,0,0,0,0
Prof. Isabella Thomas,P012,2,2,1,1,1,1,1,2,1,2,1,3.9,0,0,0,0
Dr. Jennifer Clark,P008,4,3,5,5,4,1,4,3,5,2,1,4.25,1,1,1,1
Dr. David White,P011,2,1,1,2,2,2,2,1,2,2,1,4.4,0,0,0,0
Prof. Emily Davis,P004,5,3,3,4,5,4,4,3,3,3,1,4.25,1,1,1,1
Dr. Olivia Hernandez,P010,1,5,2,5,3,1,4,1,5,1,1,3.9,1,1,1,1
Prof. Emily Davis,P004,4,5,2,1,4,2,3,5,5,3,1,4.05,1,1,1,1
Dr. Andrew Lopez,P015,2,1,2,3,1,2,5,3,3,3,1,4.05,1,1,1,1
Prof. Emily Davis,P004,2,4,2,4,1,5,3,2,4,1,1,4.3,1,1,1,0
Prof. Daniel Martinez,P007,1,2,1,1,1,1,2,2,2,2,1,4.1,0,0,0,0
Dr. David White,P011,5,3,3,5,3,5,4,4,1,4,1,3.9,1,1,1,1
Dr. Henry Young,P017,2,4,4,3,2,5,3,5,4,1,1,3.9,1,1,1,1
Prof. John Doe,P001,1,5,4,2,2,2,1,3,2,3,1,4.15,1,1,1,0
Prof. William Lee,P009,5,3,5,5,1,1,2,1,3,2,1,4.25,1,1,1,1
Dr. Alice Smith,P002,4,4,1,1,1,5,4,5,2,3,1,3.4,1,1,1,1
Prof. Emily Davis,P004,3,3,2,2,2,5,1,4,2,1,1,4.2,1,1,1,0
Dr. Michael Brown,P003,1,3,5,4,2,4,5,4,1,5,1,3.9,1,1,1,0
Prof. Daniel Martinez,P007,5,5,5,5,3,3,4,3,5,5,1,3.8,1,1,1,1
Dr. Jennifer Clark,P008,2,2,2,1,2,1,1,1,1,2,1,4.1,0,0,0,0
Dr. Michael Brown,P003,2,5,5,2,4,4,1,5,4,1,1,4.1,1,1,1,1
Prof. Grace Hall,P016,3,5,3,4,5,3,4,4,3,4,1,3.65,1,1,1,1
Prof. Elizabeth Ramirez,P020,2,1,1,1,1,1,2,1,1,2,1,4.25,0,0,0,0
Dr. David White,P011,2,1,1,1,2,2,1,1,2,2,1,3.3,0,0,0,0
Dr. Henry Young,P017,5,5,3,3,3,5,5,3,5,5,1,4.35,1,1,1,1
Dr. Henry Young,P017,4,3,4,3,4,3,3,5,3,3,1,4.15,1,1,1,1
Prof. Isabella Thomas,P012,5,5,5,4,2,5,2,4,5,1,1,4.05,1,1,1,1
Dr. Andrew Lopez,P015,4,5,3,4,2,3,5,4,5,3,1,4.3,1,1,1,1
Dr. Henry Young,P017,3,4,1,3,2,3,5,3,2,3,1,4.2,1,1,1,1
Dr. Ryan Carter,P019,1,1,2,1,2,2,1,2,1,1,1,4.3,0,0,0,0
Prof. Sophia Scott,P014,4,4,5,4,5,4,4,4,4,3,1,3.85,1,1,1,1
Prof. Emily Davis,P004,2,2,1,1,1,2,1,1,2,2,1,4.1,0,0,0,0
Prof. William Lee,P009,3,5,5,4,4,5,5,5,3,5,1,3.9,1,1,1,1
Prof. Grace Hall,P016,1,2,2,1,2,2,1,2,2,2,1,4.6,0,0,0,0
Prof. Emily Davis,P004,3,5,3,5,5,5,4,3,4,4,1,4.35,1,1,1,1
Prof. Grace Hall,P016,2,2,2,2,2,1,2,1,2,1,1,4.05,0,0,0,0
Prof. Sophia Scott,P014,5,5,1,3,1,4,4,2,3,5,1,4.35,1,1,1,1
Dr. Andrew Lopez,P015,4,3,4,3,4,2,1,3,5,4,1,3.85,1,1,1,1
Prof. Natalian Khabib King,P018,1,4,1,5,5,3,1,3,1,2,1,4.2,1,1,1,1
Dr. Ryan Carter,P019,5,1,3,2,2,3,2,3,1,1,1,4.05,0,0,0,1
Dr. Jennifer Clark,P008,1,2,2,1,2,2,1,2,2,2,1,3.9,0,0,0,0
Dr. James Walker,P013,3,4,3,5,4,3,4,4,5,4,1,3.55,1,1,1,1
Dr. Alice Smith,P002,4,4,5,5,3,3,3,3,5,4,1,3.55,1,1,1,1
Prof. Emily Davis,P004,1,2,2,1,2,2,2,2,2,1,1,4.4,0,0,0,0
Prof. Daniel Martinez,P007,5,2,3,2,3,1,4,3,2,3,1,4.35,1,1,1,1
Dr. Sarah Wilson,P006,5,5,3,3,4,4,5,4,3,3,1,4.35,1,1,1,1
Prof. Sophia Scott,P014,1,2,1,1,5,3,3,3,1,4,1,4.0,1,1,1,1
Dr. Alice Smith,P002,2,2,2,1,1,1,1,2,1,2,1,4.4,0,0,0,0
Prof. Emily Davis,P004,1,2,1,1,2,1,2,1,1,2,1,4.4,0,0,0,0
Prof. William Lee,P009,3,3,5,4,4,3,4,3,3,5,1,4.25,1,1,1,1
Prof. Emily Davis,P004,4,4,5,5,4,4,3,3,4,3,1,3.75,1,1,1,1
Prof. Daniel Martinez,P007,4,5,4,3,4,5,4,4,5,3,1,3.9,1,1,1,1
Dr. Henry Young,P017,1,4,1,4,1,1,5,4,3,4,1,4.3,1,1,1,1
Dr. Robert Johnson,P005,5,5,1,3,3,4,4,4,1,5,1,3.6,1,1,1,1
Dr. Robert Johnson,P005,1,2,2,1,1,1,2,2,1,2,1,4.15,0,0,0,0
Dr. Andrew Lopez,P015,5,2,4,2,4,3,2,3,2,3,1,3.7,1,1,1,1
Dr. Robert Johnson,P005,5,3,2,4,2,5,5,5,3,4,1,3.65,1,1,1,0
Dr. Michael Brown,P003,2,1,2,2,2,1,1,2,2,1,1,3.75,0,0,0,0
Dr. Sarah Wilson,P006,1,1,2,1,2,1,2,1,1,1,1,4.0,0,0,0,0
Prof. Grace Hall,P016,3,5,3,4,5,3,3,4,3,3,1,3.85,1,1,1,1
Dr. James Walker,P013,5,3,1,5,1,2,5,2,1,4,1,3.75,1,1,1,1
Dr. David White,P011,1,1,2,1,1,2,1,2,1,2,1,3.8,0,0,0,0
Dr. Henry Young,P017,5,3,3,4,3,5,5,3,5,5,1,3.75,1,1,1,1
Prof. John Doe,P001,4,5,4,5,5,5,3,3,5,5,1,4.25,1,1,1,1
Dr. Andrew Lopez,P015,2,2,1,5,4,5,5,4,1,5,1,3.95,1,1,1,1
Prof. Elizabeth Ramirez,P020,1,3,1,3,5,1,3,2,1,1,1,3.3,1,1,1,1
Prof. William Lee,P009,2,4,4,1,2,5,4,1,5,1,1,3.8,1,1,1,0
Dr. Olivia Hernandez,P010,4,3,1,2,5,3,1,1,5,3,1,3.6,1,1,1,1
Prof. Daniel Martinez,P007,2,5,4,4,2,4,2,4,2,1,1,3.95,1,1,1,0
Dr. Henry Young,P017,4,4,5,2,4,3,3,2,4,3,1,4.0,1,1,1,0
Dr. James Walker,P013,1,2,4,5,1,1,5,4,3,4,1,3.5,1,1,1,1
Prof. Grace Hall,P016,3,1,5,3,2,3,3,5,5,4,1,3.7,1,1,1,1
Prof. Natalian Khabib King,P018,4,4,4,3,3,3,5,5,4,5,1,3.8,1,1,1,1
Prof. William Lee,P009,2,1,1,2,2,1,1,1,1,2,1,3.8,0,0,0,0
